Cargo,Unidade,Classe,Total,CH_20,CH_40,CH_De,Ti_G,Ti_PG,Ti_M,Ti_D,Ti_PD,Fu_FG,Fu_FCC,Fu_CD,Gasto anual com docentes do Magistério Superior em 2019
PR-6 Pró-Reitoria de Gestão e Governança,PR-6 Pró-Reitoria de Gestão e Governança,5,0,0,0,0,0,0,0,0,0,0,0,0,12412.68
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,8,0,0,0,0,0,0,0,0,0,0,0,0,350376.12
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,6,0,0,0,0,0,0,0,0,0,0,0,0,103092.13
Centro de Ciências Jurídicas e Econômicas                   ,Centro de Ciências Jurídicas e Econômicas                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,195512.8
Fórum de Ciência e Cultura                                  ,Universidade da Cidadania/FCC,5,0,0,0,0,0,0,0,0,0,0,0,0,77358.92
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,4,0,0,0,0,0,0,0,0,0,0,0,0,30176.76
Centro de Ciências da Saúde                                 ,Instituto de Doenças do Tórax                               ,7,0,0,0,0,0,0,0,0,0,0,0,0,221005.28
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,5,0,0,0,0,0,0,0,0,0,0,0,0,129862.04
Centro de Ciências da Saúde                                 ,Instituto de Neurologia                                     ,6,0,0,0,0,0,0,0,0,0,0,0,0,141158.82
Fórum de Ciência e Cultura                                  ,Núcleo de Rádio e TV/FCC,7,0,0,0,0,0,0,0,0,0,0,0,0,113390.06
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,5,0,0,0,0,0,0,0,0,0,0,0,0,100017.87
Centro de Tecnologia                                        ,Núcleo Interdisciplinar para o Desenvolvimento Social / CT,8,0,0,0,0,0,0,0,0,0,0,0,0,124840.17
