ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
1954,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1966,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1967,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1968,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,5
1968,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1969,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,11
1969,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1970,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,9
1970,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,5
1971,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,50
1971,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,63
1972,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,57
1972,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,49
1973,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,68
1951,1,,,Engenharia de Produção,Mestrado,1
1951,1,,,Engenharia de Sistemas e Computação,Mestrado,1
1973,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
1974,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,62
1974,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1952,1,,,Engenharia de Produção,Mestrado,1
1975,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,81
1975,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,79
1976,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,80
1976,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
1977,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1953,1,,,Licenciatura em Desenho e Plástica,Doutorado,1
1977,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,76
1978,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
1978,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,71
1979,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,76
1979,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,82
1980,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
1980,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1981,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,98
1981,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1982,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,99
1982,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
1956,1,,,Engenharia Civil,Mestrado,1
1983,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,94
1983,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1984,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
1957,1,,,Licenciatura em Desenho e Plástica,Doutorado,1
1984,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,70
1985,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,82
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,68
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1986,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,89
1986,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,73
1987,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1987,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,76
1988,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,79
1988,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,75
1989,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,82
1989,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,69
1960,1,,,Engenharia de Sistemas e Computação,Mestrado,3
1989,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1990,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
1990,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,72
1991,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,78
1991,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1992,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,96
1992,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,87
1993,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,98
1993,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,98
1993,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1994,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,101
1994,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1994,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,89
1994,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1995,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
1962,1,,,Licenciatura em Desenho e Plástica,Doutorado,1
1995,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,7
1995,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,71
1995,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,18
1996,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,72
1996,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,16
1996,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,70
1996,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,23
1997,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,74
1997,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,29
1997,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
1963,1,,,Engenharia Civil,Doutorado,1
1998,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,97
1963,1,,,Engenharia Civil,Mestrado,1
1963,1,,,Engenharia de Produção,Mestrado,1
1998,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
1999,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1999,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,94
1963,2,,,Engenharia de Sistemas e Computação,Mestrado,1
1999,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
1964,1,,,Ciências Biológicas (Zoologia),Mestrado,1
2000,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,87
2000,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,81
2001,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
2001,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,87
2001,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,104
1964,1,,,Engenharia de Produção,Mestrado,1
1964,1,,,Engenharia de Sistemas e Computação,Mestrado,3
2002,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,99
2002,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
2002,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
2003,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
2003,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
2003,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
2004,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
2004,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,85
2005,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
2005,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,87
1964,2,,,Engenharia de Produção,Mestrado,1
2006,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
2006,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,79
2007,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,92
2007,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
2008,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
2008,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
2009,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,90
1965,1,,,Engenharia Civil,Mestrado,1
1965,1,,,Engenharia de Sistemas e Computação,Mestrado,2
1965,1,,,Engenharia Elétrica,Mestrado,1
2009,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,87
1965,1,,,Engenharia Mecânica,Mestrado,1
2010,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,97
1965,1,,,Engenharia Química,Doutorado,1
2010,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,95
2011,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
2011,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,84
2012,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,92
2012,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
2013,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,103
2013,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,100
2014,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,104
2014,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,113
2015,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,99
2015,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,91
2016,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
2016,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
2017,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,93
2017,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,86
2018,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,98
2018,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,88
2019,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,89
2019,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,83
2020,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,70
1952,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1966,1,,,Engenharia Civil,Mestrado,1
1966,1,,,Engenharia de Produção,Doutorado,1
1966,1,,,Engenharia de Produção,Mestrado,2
1966,1,,,Engenharia de Sistemas e Computação,Doutorado,1
1966,1,,,Engenharia de Sistemas e Computação,Mestrado,2
1966,1,,,Engenharia Elétrica,Doutorado,1
1966,1,,,Engenharia Elétrica,Mestrado,1
1966,1,,,Engenharia Nuclear,Mestrado,1
1954,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,2
1955,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1956,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1964,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1964,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1966,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,5
1967,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,6
1968,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,4
1966,2,,,Engenharia Química,Doutorado,1
1968,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1969,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,14
1969,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,1
1970,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,14
1971,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,101
1971,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,78
1972,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,124
1972,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,83
1973,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,122
1973,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,83
1974,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,106
1967,1,,,Engenharia Civil,Doutorado,1
1974,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,83
1967,1,,,Engenharia Civil,Mestrado,1
1967,1,,,Engenharia de Produção,Mestrado,2
1967,1,,,Engenharia de Sistemas e Computação,Doutorado,2
1967,1,,,Engenharia Elétrica,Mestrado,1
1975,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,104
1975,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,79
1976,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,100
1967,1,,,Engenharia Química,Doutorado,1
1976,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,81
1967,1,,,Engenharia Química,Mestrado,1
1977,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,101
1977,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,87
1978,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,105
1978,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,82
1967,1,,,Licenciatura em Desenho e Plástica,Doutorado,2
1979,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,117
1979,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,89
1980,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,111
1980,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,87
1981,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,107
1981,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,113
1982,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,153
1982,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,110
1983,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,143
1983,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,84
1984,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,170
1984,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,85
1967,2,,,Engenharia de Sistemas e Computação,Mestrado,1
1967,2,,,Engenharia Elétrica,Mestrado,1
1967,2,,,Química Orgânica ,Doutorado,1
1967,3,,,Engenharia Elétrica,Mestrado,1
1985,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,95
1985,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,84
1986,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,95
1986,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,97
1987,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,101
1987,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,89
1988,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,90
1988,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,55
1989,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,94
1989,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,19
1990,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,110
1990,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,60
1991,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,121
1991,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,106
1992,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,136
1992,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,128
1993,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,128
1968,1,,,Engenharia Civil,Doutorado,2
1993,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,121
1968,1,,,Engenharia Civil,Mestrado,10
1968,1,,,Engenharia de Produção,Doutorado,1
1994,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,122
1968,1,,,Engenharia de Produção,Mestrado,9
1968,1,,,Engenharia de Sistemas e Computação,Doutorado,1
1968,1,,,Engenharia de Transportes,Doutorado,1
1968,1,,,Engenharia Elétrica,Mestrado,1
1994,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,126
1995,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,126
1968,1,,,Engenharia Mecânica,Doutorado,1
1995,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,126
1968,1,,,Engenharia Metalúrgica e de Materiais,Mestrado,3
1968,1,,,Engenharia Nuclear,Mestrado,6
1968,1,,,Engenharia Oceânica,Doutorado,1
1968,1,,,Engenharia Oceânica,Mestrado,4
1996,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,123
1968,1,,,Engenharia Química,Mestrado,3
1996,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,132
1997,1,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,134
1997,2,Centro de Letras e Artes (CLA),Faculdade de Arquitetura e Urbanismo (FAU),Arquitetura e Urbanismo,Graduação,127
